rv0615	13.75	72	80	0.835
rv0616c	28.41	48	63	0.6617
rv0618	30.30	88	124	0.7177
rv0619	33.70	1	42	0.8583
rv0620	20.39	81	119	0.8124
rv0621	46.61	216	261	0.9151
rv0622	29.84	67	107	0.8234
rv0625c	24.39	104	121	0.6613
rv0628c	41.78	183	216	0.6799
rv0629c	33.04	160	228	0.761
rv0630c	33.18	189	231	0.67
rv0631c	13.58	698	727	0.7779
rv0632c	19.48	175	198	0.7313
rv0633c	37.99	159	185	0.8945
rv0634c	11.39	87	99	0.5782
rv0634a	68.67	23	65	0.771
rv0634b	69.09	18	41	0.8619
rv0635	20.89	131	158	0.807
rv0636	14.08	9	16	0.5253
rv0637	13.25	153	161	0.5934
rv0638	60.25	1	97	0.8523
rv0639	45.80	155	204	0.752
rv0640	38.03	1	30	0.8079
rv0641	45.53	192	235	0.7745
rv0643c	9.22	211	224	0.6774
rv0644c	12.89	202	221	0.7419
rv0645c	19.93	200	216	0.7614
rv0646c	31.56	50	85	0.7447
rv0647c	28.69	137	205	0.7003
rv0648	25.10	868	897	0.8583
rv0649	52.23	81	111	0.731
rv0650	23.84	55	76	0.7957
rv0651	33.71	114	133	0.7145
rv0652	32.31	38	66	0.8291
rv0653c	17.75	210	222	0.6107
rv0654	31.94	1	33	0.7135
rv0655	29.53	268	336	0.8578
rv0658c	23.11	38	56	0.7911
rv0663	24.02	104	134	0.863
rv0666	57.89	1	24	0.6836
rv0667	48.04	604	651	0.7507
rv0668	47.11	142	219	0.8288
rv0669c	26.37	356	383	0.8171
rv0670	24.21	106	131	0.7015
rv0671	14.64	137	149	0.7487
rv0672	30.44	161	199	0.7585
rv0673	25.96	211	230	0.7443
rv0674	16.67	61	84	0.8236
rv0675	41.06	163	197	0.6852
rv0676c	30.71	627	681	0.7351
rv0677c	21.83	88	108	0.7854
rv0678	36.36	7	24	0.751
rv0679c	46.67	30	81	0.9353
rv0680c	36.29	13	39	0.7934
rv0681	22.45	114	131	0.7561
rv0682	95.16	63	124	0.7889
rv0683	73.72	99	149	0.7658
rv0684	30.96	280	311	0.8129
rv0685	40.66	144	175	0.7719
rv0686	27.55	198	260	0.7451
rv0687	32.73	43	83	0.782
rv0688	27.09	177	199	0.7529
rv0689c	26.19	57	71	0.6613
